Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
tenis leopardo mujer,4,4,320,22,0.13,https://www.amazon.com.mx/tenis-animal-print/s?k=tenis+animal+print,16,0,2.00,1,2310000,"[29,29,44,44,54,66,54,66,100,66,66,81]",2025-09-12,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
zapatillas de plastico para niñas,1,1,210,27,0.00,https://www.amazon.com.mx/Zapatos-vestir-princesa-para-ni%C3%B1as/dp/B077QK7789,16,0,0.00,0.93,66,"[81,100,66,66,66,66,53,53,66,81,81,34]",2025-09-08,"Image pack, Video, Image, Related searches",informational,Image pack
tenis dici,8,8,1300,26,0.05,https://www.amazon.com.mx/tenis-mujer-dc-shoes/s?k=tenis+mujer+dc+shoes,16,0,0.00,1,88600,"[62,62,55,62,81,62,62,81,81,100,81,100]",2025-10-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
muebles para tenis de madera,1,1,210,28,0.13,https://www.amazon.com.mx/vertical-inferior-almacenamiento-superior-organizador/dp/B09JNHY3SP,16,0,2.00,1,14300000,"[66,53,66,66,81,66,53,66,66,81,100,53]",2025-09-11,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
zapatos blanco y negro hombre,1,1,210,23,0.37,https://www.amazon.com.mx/HuitJours-Zapatos-vestir-cl%C3%A1sicos-cordones/dp/B0C2RV9FWK,16,0,5.00,1,92,"[81,81,65,81,100,100,81,65,65,81,81,81]",2025-09-05,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
zapatos para vestidos cortos pegados,1,1,210,29,0.00,https://www.amazon.com.mx/VIOPY-Vestidos-Casuales-Ajustado-Vestido/dp/B0DBKXR6NC,16,0,0.00,0.97,680000,"[66,81,81,100,100,34,34,44,66,81,53,66]",2025-09-04,"Image pack, Video, Image, Related searches",informational,Image pack
zapatos casuales hombre dockers,5,5,320,20,0.10,https://www.amazon.com.mx/Zapatos-Dockers-para-Hombre/s?rh=n%3A17052008011%2Cp_89%3ADockers,16,0,1.00,1,50,"[67,67,82,67,82,82,67,82,82,100,54,54]",2025-09-06,"Image pack, Image, Related searches",informational,Organic
zapatos de piccolo,1,1,210,30,0.00,https://www.amazon.com.mx/Yuanplate-Piccolo-Zapatos-cosplay-fiestas/dp/B0CNTJPGXQ,16,0,0.00,0,77,"[100,65,65,54,54,65,65,81,100,100,100,54]",2025-09-03,"Image pack, Video, Image, Related searches",informational,Image pack
tenis 270 air max,1,1,210,28,0.09,https://www.amazon.com.mx/Nike-Wmns-Air-MAX-270/dp/B07G2SX8J2,16,0,1.00,0.48,53,"[23,19,35,23,23,29,54,44,54,100,67,100]",2025-09-03,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
zapatos de futbol sala,4,4,320,18,0.03,https://www.amazon.com.mx/tenis-futbol-sala-hombre/s?k=tenis+futbol+sala+hombre,16,0,0.00,0.94,4950000,"[81,100,81,67,67,67,67,54,81,81,54,44]",2025-09-04,"Image pack, Video, Image, Related searches",informational,Organic
tenis rojos niño,4,4,320,17,0.20,https://www.amazon.com.mx/tenis-rojos-ni%C3%B1o/s?k=tenis+rojos+ni%C3%B1o,16,0,3.00,1,64,"[81,81,67,54,81,81,100,54,54,67,54,67]",2025-09-03,"Image pack, Image, Shopping ads, Related searches",informational,Organic
tenis rbx hombre,1,1,210,27,0.09,https://www.amazon.com.mx/RBX-Active-deportivos-entrenamiento-hombre/dp/B0BN4GP2TF,16,0,1.00,0.48,34,"[28,28,28,54,44,44,44,54,82,67,100,54]",2025-09-01,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
tenis rbx hombre,1,1,210,27,0.09,https://www.amazon.com.mx/RBX-Active-Zapatillas-deportivas-correr/dp/B084QBSBQC,16,0,1.00,0.48,34,"[28,28,28,54,44,44,44,54,82,67,100,54]",2025-09-01,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
tenis calvin klein,4,4,9900,24,0.06,https://www.amazon.com.mx/Calvin-Klein-Womens-Cathee-Sneaker/dp/B0CP7GB3HJ,16,0,0.00,1,7120000,"[67,67,67,82,100,67,45,55,45,45,45,45]",2025-10-03,"Image pack, Sitelinks, Video, Image, Related searches, See results about",navigational,Image pack
tenis calvin klein,4,4,9900,24,0.06,https://www.amazon.com.mx/Calvin-Klein-Rex-Tenis-Hombre/dp/B0C8KFGDY7,16,0,0.00,1,7120000,"[67,67,67,82,100,67,45,55,45,45,45,45]",2025-10-03,"Image pack, Sitelinks, Video, Image, Related searches, See results about",navigational,Image pack
tenis nike blancos con dorado,4,4,320,29,0.10,https://www.amazon.com.mx/Nike-Tenis-Court-Royale-AO2810109/dp/B07NLD952N,16,0,1.00,0.62,613000,"[81,67,81,54,67,54,54,67,81,100,67,54]",2025-09-05,"Image pack, Video, Image, Related searches",informational,Organic
zapatos color plata mujer,1,1,210,20,0.05,https://www.amazon.com.mx/QEEFXLQI-Tacones-Zapatos-Fiesta-Plataforma/dp/B0DGVP3CZR,16,0,0.00,1,27100000,"[66,66,44,100,81,44,81,81,81,81,81,44]",2025-09-03,"Image pack, Video, Image, Popular products, Related searches",informational,Image pack
cajones para zapatos,4,4,320,26,0.09,https://www.amazon.com.mx/mueble-organizador-de-zapatos/s?k=mueble+organizador+de+zapatos,16,0,1.00,1,93,"[82,67,100,100,100,100,82,67,67,82,82,82]",2025-08-30,"Image pack, Video, Image, Shopping ads, Related searches",informational,Organic
tinta blanca para tenis,1,1,210,29,0.03,https://www.amazon.com.mx/pintura-blanqueador-impermeable-ara%C3%B1azos-Bavokon/dp/B0B5SW9HPZ,16,0,0.00,0.94,72,"[65,65,65,65,65,81,81,81,100,65,81,65]",2025-09-12,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
zapatos boliche,6,6,320,25,0.07,https://www.amazon.com.mx/b?ie=UTF8&node=14093770011,16,0,1.00,0.89,67,"[100,81,100,100,100,81,100,100,66,81,100,81]",2025-09-01,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
zapatos en aerosol,1,1,210,30,0.00,https://www.amazon.com.mx/Uwariloy-Limpiador-Zapatos-Aerosol-instant%C3%A1nea/dp/B0B82MHJ7N,16,0,0.00,0.01,4360000,"[66,53,53,66,66,100,100,81,53,66,66,53]",2025-08-29,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
zapatos de bad bunny,4,4,320,20,0.00,https://www.amazon.com.mx/adidas-bad-bunny/s?k=adidas+bad+bunny,16,0,0.00,0.23,84,"[100,82,82,100,82,67,67,67,82,100,82,44]",2025-09-10,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",informational,Organic
gabinete para zapatos,1,1,210,28,0.13,https://www.amazon.com.mx/abatibles-Almacenamiento-basculante-Organizador-Independiente/dp/B0CTG1LT79,16,0,2.00,1,85,"[35,23,19,19,29,35,35,100,54,54,67,44]",2025-08-28,"Image pack, Video, Image, Related searches",informational,Image pack
gabinete para zapatos,1,1,210,28,0.13,https://www.amazon.com.mx/Gabinete-Organizador-almacenamiento-independiente-delgados/dp/B0CTCSGBCC,16,0,2.00,1,85,"[35,23,19,19,29,35,35,100,54,54,67,44]",2025-08-28,"Image pack, Video, Image, Related searches",informational,Image pack
gabinete para zapatos,1,1,210,28,0.13,https://www.amazon.com.mx/Gabinete-giratorio-zapatero-almacenamiento-independiente/dp/B0D597Y6QW,16,0,2.00,1,85,"[35,23,19,19,29,35,35,100,54,54,67,44]",2025-08-28,"Image pack, Video, Image, Related searches",informational,Image pack
gabinete para zapatos,1,1,210,28,0.13,https://www.amazon.com.mx/Gabinete-Almacenamiento-Independiente-Organizador-Estrecho/dp/B0CTCMJ6HH,16,0,2.00,1,85,"[35,23,19,19,29,35,35,100,54,54,67,44]",2025-08-28,"Image pack, Video, Image, Related searches",informational,Image pack
tenis ortopedicos para niños,4,4,320,20,0.14,https://www.amazon.com.mx/zapatos-ortop%C3%A9dicos-ni%C3%B1a/s?k=zapatos+ortop%C3%A9dicos+ni%C3%B1a,16,0,2.00,1,210000,"[66,81,100,100,81,100,81,100,81,100,100,100]",2025-09-02,"Local pack, Image pack, Video, Image, Related searches",informational,Organic
tenis de drake,1,1,260,28,0.00,https://www.amazon.com.mx/Nike-Terra-NOCTA-DH4692-Drake/dp/B0BQ7LKNDW,16,0,0.00,0.47,3630000,"[100,100,100,81,81,66,66,53,81,100,66,66]",2025-09-01,"Image pack, Video, Image, People also ask, Related searches",informational,People also ask
zapatos stilettos comodos,2,2,320,28,0.08,https://www.amazon.com.mx/stilettos-mujer/s?k=stilettos+mujer,16,0,1.00,1,221000,"[3,5,3,3,5,5,3,36,3,44,28,100]",2025-09-07,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
tenis urban shoes precio,1,1,210,16,0.03,https://www.amazon.com.mx/Urban-Shoes-Tenis-Urbano-Hombre/dp/B0C3V6FVKV,16,0,0.00,0.44,44,"[53,66,66,81,66,100,81,66,53,66,81,66]",2025-09-04,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",transactional,Image pack
tenis ronaldinho r10,1,1,210,28,0.00,https://www.amazon.com.mx/Nike-Tiempo-Finale-10R-Ronaldinho/dp/B079QJZYCD,16,0,0.00,0.2,60,"[82,82,82,100,82,28,23,28,54,28,23,28]",2025-09-06,"Image pack, Video, Image, Related searches",informational,Image pack
tenis basket,15,15,5400,19,0.08,https://www.amazon.com.mx/tenis-basketball/s?k=tenis+basketball,16,0,1.00,1,52800000,"[82,82,100,100,100,82,82,82,67,82,67,55]",2025-10-05,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",informational,Organic
guia de tallas tenis hombre,1,1,210,12,0.12,https://www.amazon.com.mx/b?ie=UTF8&node=14970599011,16,0,1.00,0.12,4260000,"[54,65,81,65,81,100,81,81,100,100,65,35]",2025-09-04,"Image pack, Video, Image, Related searches","commercial, informational",Image pack
tenis kawaii,1,1,210,30,0.00,https://www.amazon.com.mx/Kawaii-SnKawaii-cordones-zapatos-c%C3%B3modos/dp/B0CG2KH6CW,16,0,0.00,0.23,79,"[100,66,66,81,53,66,44,44,53,53,53,34]",2025-09-01,"Image pack, Video, Image, Related searches",informational,Image pack
tenis gary payton,6,6,1300,33,0.12,https://www.amazon.com.mx/Nike-Zapatillas-deporte-granate-carmes%C3%AD/dp/B07X5WYBM9,16,0,1.00,0.14,134000,"[30,100,54,42,100,42,42,42,54,54,79,54]",2025-10-08,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",informational,Organic
zapatillas ysl,11,11,5400,25,0.05,https://www.amazon.com.mx/Ropa-Zapatos-y-Accesorios/s?rh=n%3A13848838011%2Cp_4%3AYves%2BSaint%2BLaurent,16,0,0.00,0.38,1690000,"[67,82,100,82,100,82,55,67,67,82,82,100]",2025-10-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
plantillas de tenis,4,4,320,25,0.06,https://www.amazon.com.mx/b?ie=UTF8&node=9845885011,16,0,0.00,0.63,8300000,"[82,100,82,67,67,67,82,67,82,67,82,82]",2025-09-07,"Image pack, Video, Image, Related searches",informational,Organic
zapatos de sonic para niños,2,2,320,25,0.08,https://www.amazon.com.mx/tenis-sonic/s?k=tenis+sonic,16,0,1.00,1,5040000,"[54,44,67,81,81,81,100,44,44,67,54,54]",2025-09-03,"Image pack, Video, Image, Popular products, Related searches",informational,Organic
tenis nike vapormax mujer,1,1,210,31,0.08,https://www.amazon.com.mx/Nike-Zapatos-Mujer-Vapormax-DH1063-001/dp/B08P2GPQF9,16,0,1.00,0.63,77,"[100,53,81,53,66,66,66,66,34,66,53,66]",2025-09-04,"Image pack, Sitelinks, Video, Image, Ads top, People also ask, Related searches",informational,Image pack
tenis de miles morales precio,1,1,210,30,0.00,https://www.amazon.com.mx/Nike-Jordan-Spiderman-555088-Blanco/dp/B07M9G1FSR,16,0,0.00,0.29,61,"[44,66,53,66,66,53,53,53,66,100,66,53]",2025-08-31,"Image pack, Video, Image, People also ask, Related searches",transactional,Image pack
tenis world industries,4,4,320,30,0.00,https://www.amazon.com.mx/World-Industries-Vandal-Skateboarding-Sneakers/dp/B00IV28JKM,16,0,0.00,0.26,64,"[36,44,67,82,100,100,82,67,82,100,100,82]",2025-09-06,"Image pack, Sitelinks, Image, Related searches",informational,Organic
zapatos primera comunion niña,2,2,170,28,0.13,https://www.amazon.com.mx/zapatos-primera-comunion/s?k=zapatos+primera+comunion,15,0,1.00,1,85,"[18,23,23,44,44,44,36,18,23,44,54,100]",2025-09-08,"Image pack, Video, Image, Related searches",informational,Organic
tenis 270 hombre,6,6,390,26,0.08,https://www.amazon.com.mx/nike-air-max-270/s?k=nike+air+max+270,15,0,1.00,0.72,74,"[24,44,44,81,100,54,29,100,81,100,54,66]",2025-09-07,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
zapatos alpargatas,1,1,720,21,0.07,https://www.amazon.com.mx/ORANDESIGN-Sandalias-Alpargatas-Bohemias-Romanas/dp/B07R76KCMC,15,0,1.00,1,5790000,"[77,77,100,68,68,45,37,30,30,30,37,45]",2025-09-05,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
tenis barbie mujer,6,6,390,19,0.14,https://www.amazon.com.mx/tenis-barbie/s?k=tenis+barbie,15,0,2.00,1,86,"[20,13,16,13,8,20,16,16,20,100,55,68]",2025-08-29,"Image pack, Video, Image, Related searches",informational,Organic
zapatos patines,1,1,1000,28,0.06,https://www.amazon.com.mx/MLyzhe-Deformation-Roller-Shoes-autom%C3%A1ticamente/dp/B08DTW1XKW,15,0,0.00,1,8260000,"[30,30,30,55,100,55,25,20,20,20,20,20]",2025-10-10,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches",informational,Image pack
zapatos patines,1,1,1000,28,0.06,https://www.amazon.com.mx/MLyzhe-Zapatos-Deformaci%C3%B3n-Paralelo-Adolescentes/dp/B07WSSPD7W,15,0,0.00,1,8260000,"[30,30,30,55,100,55,25,20,20,20,20,20]",2025-10-10,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches",informational,Image pack
keds tenis mujer,3,3,170,28,0.08,https://www.amazon.com.mx/Moda-Femenina-Keds/s?rh=n%3A14093002011%2Cp_89%3AKeds,15,0,1.00,1,47,"[100,100,81,100,100,67,52,67,43,81,43,81]",2025-09-04,"Image pack, Sitelinks, Image, People also ask, Related searches, See results about",informational,Organic
zapatos ariat de hombre,1,1,720,18,0.07,https://www.amazon.com.mx/Ariat-Spitfire-Botas-Trabajo-Hombre/dp/B071G3N5B4,15,0,1.00,1,83,"[67,100,82,82,82,82,67,82,82,100,82,67]",2025-09-10,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Image pack
zapatos de miles morales,2,2,170,31,0.00,https://www.amazon.com.mx/jordan-miles-morales/s?k=jordan+miles+morales,15,0,0.00,0.19,2070000,"[65,54,54,65,81,42,42,35,65,100,42,54]",2025-09-07,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
tenis blancos casuales,4,4,1900,25,0.08,https://www.amazon.com.mx/RELAAX-Casual-Blanco-Zapatillas-Deportivos/dp/B0BR86YK14,15,0,1.00,1,6150000,"[67,67,79,79,79,67,67,67,100,100,67,54]",2025-10-12,"Image pack, Sitelinks, Video, Image, Related searches","commercial, informational",Image pack
tenis blancos casuales,4,4,1900,25,0.08,https://www.amazon.com.mx/FRACORA-Zapatos-blancos-hombre-sint%C3%A9tica/dp/B0C4PMNXM5,15,0,1.00,1,6150000,"[67,67,79,79,79,67,67,67,100,100,67,54]",2025-10-12,"Image pack, Sitelinks, Video, Image, Related searches","commercial, informational",Image pack
bailarinas zapatos,5,5,1900,23,0.09,https://www.amazon.com.mx/VBBZYGF-Bailarinas-Puntiaguda-Cordones-Cristales/dp/B0D59XKT1D,15,0,1.00,0.99,7620000,"[79,79,100,100,100,67,67,100,67,67,67,67]",2025-10-13,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches","commercial, informational",Image pack
zapatillas naranjas mujer,2,2,170,23,0.09,https://www.amazon.com.mx/Zapatillas-para-Mujer-Naranja-Zapatos/s?rh=n%3A34674071011%2Cp_n_size_six_browse-vebin%3A14145067011,15,0,1.00,0.97,95,"[66,81,100,66,44,34,34,44,44,22,44,28]",2025-08-30,"Image pack, Video, Image, Related searches",informational,Organic
zapatos de rayo mcqueen,2,2,170,28,0.00,https://www.amazon.com.mx/tenis-rayo-mcqueen-ni%C3%B1o/s?k=tenis+rayo+mcqueen+ni%C3%B1o,15,0,0.00,0.39,99,"[100,100,81,67,81,67,52,100,67,81,67,100]",2025-08-26,"Image pack, Video, Image, Related searches",informational,Organic
tenis con velcro para hombre,2,2,170,21,0.07,https://www.amazon.com.mx/Calzado-de-Tenis-para-Hombre-Zapatos/s?keywords=Calzado+de+Tenis+para+Hombre&rh=n%3A14093017011%2Cp_n_feature_five_browse-bin%3A14145156011&c=ts&ts_id=14093017011,15,0,1.00,1,5290000,"[54,27,42,100,81,65,65,65,35,35,100,54]",2025-09-01,"Image pack, Video, Image, Related searches",informational,Organic
tenis nike de piel para hombre,6,6,390,28,0.05,https://www.amazon.com.mx/Nike-Tenis-Piel-Negro/dp/B01N94479K,15,0,0.00,1,91,"[54,67,81,81,100,100,67,67,100,67,67,44]",2025-09-05,"Image pack, Sitelinks, Image, Related searches",informational,Organic
tenis con ruedas adultos,2,2,170,29,0.06,https://www.amazon.com.mx/tenis-patines-adulto/s?k=tenis+patines+adulto,15,0,0.00,1,76,"[2,2,2,2,100,2,2,2,54,81,23,35]",2025-09-02,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
tenis destalonados mujer,2,2,170,26,0.11,https://www.amazon.com.mx/tenis-destalonados-mujer/s?k=tenis+destalonados+mujer,15,0,1.00,1,91,"[100,100,100,65,42,54,65,54,42,42,54,35]",2025-09-12,"Image pack, Sitelinks, Image, People also ask, Related searches",informational,Organic
bola de tenis,6,6,390,26,0.06,https://www.amazon.com.mx/b?ie=UTF8&node=9790687011,15,0,0.00,0.82,43500000,"[81,81,81,81,67,100,100,100,81,54,67,81]",2025-09-03,"Image pack, Video, Related searches",informational,Organic
zapatos zuecos para mujer,6,6,390,28,0.09,https://www.amazon.com.mx/Zuecos-para-Mujer-Caf%C3%A9-Zapatos/s?rh=n%3A14093256011%2Cp_n_size_six_browse-vebin%3A14145061011,15,0,1.00,1,92,"[30,30,24,30,36,44,36,44,67,67,100,55]",2025-09-06,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
tenis de moda para hombre,3,3,1300,40,0.06,https://www.amazon.com.mx/Kricely-Zapatillas-Senderismo-Zapatilla-Antideslizante/dp/B0BMTLKWK1,15,0,0.00,1,55100000,"[68,68,84,84,100,46,46,53,53,53,68,53]",2025-10-08,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Image pack
zapatos ferrato de vestir,2,2,170,25,0.00,https://www.amazon.com.mx/ferrato-zapatos-hombre/s?k=ferrato+zapatos+hombre,15,0,0.00,0.41,46,"[100,100,100,100,67,81,67,67,67,67,43,67]",2025-09-03,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
tenis adidas gazelle,6,6,1900,28,0.06,https://www.amazon.com.mx/adidas-gazelle/s?k=adidas+gazelle,15,0,0.00,1,7200000,"[83,83,66,100,100,83,66,66,55,66,55,45]",2025-10-01,"Image pack, Sitelinks, Video, Image, Related searches",navigational,Organic
tenis skechers para niña con luz,2,2,170,21,0.10,https://www.amazon.com.mx/tenis-skechers-ni%C3%B1a-luces/s?k=tenis+skechers+ni%C3%B1a+luces,15,0,1.00,1,73,"[54,81,100,100,65,81,100,65,35,54,65,42]",2025-09-05,"Image pack, Video, Image, Related searches",informational,Organic
zapatos de tela,1,1,720,31,0.15,https://www.amazon.com.mx/AxleZx-Zapatos-Melaleuca-Tradicional-Informales/dp/B0BB7CJWRX,15,0,2.00,0.97,60000000,"[67,100,82,100,82,67,100,82,82,67,67,82]",2025-10-18,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
tenis de casquillo para mujer,3,3,1900,20,0.09,https://www.amazon.com.mx/MOFEELE-Seguridad-Industrial-Casquillo-Transpirable/dp/B0CQ8YWXF9,15,0,1.00,1,528000,"[100,79,79,79,67,100,79,100,67,67,67,67]",2025-10-12,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Image pack
zapatos de minnie mouse para niña,2,2,170,28,0.12,https://www.amazon.com.mx/zapatos-minnie-mouse-ni%C3%B1a/s?k=zapatos+minnie+mouse+ni%C3%B1a,15,0,1.00,1,74,"[67,100,67,100,100,67,100,81,67,67,81,67]",2025-09-10,"Image pack, Video, Image, Related searches",informational,Organic
zapatos zuecos de madera,2,2,390,31,0.10,https://www.amazon.com.mx/zuecos-de-madera/s?k=zuecos+de+madera,15,0,1.00,0.62,97,"[100,100,100,67,100,100,81,100,67,67,67,54]",2025-09-04,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
zapatillas teibolera,3,3,170,30,0.00,https://www.amazon.com.mx/pleaser-shoes-pole-dance/s?k=pleaser+shoes+pole+dance,15,0,0.00,0.99,56,"[81,81,81,100,100,81,81,67,81,81,81,67]",2025-08-18,Related searches,informational,Organic
agujetas elasticas para tenis,3,3,170,27,0.05,https://www.amazon.com.mx/agujetas-elasticas/s?k=agujetas+elasticas,15,0,0.00,1,89,"[66,53,34,53,44,66,53,34,28,81,100,66]",2025-09-04,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
tenis de vestir hombre,4,4,1900,32,0.07,https://www.amazon.com.mx/Jousen-hombre-estilo-casual-zapatos/dp/B0CKZDQTTY,15,0,1.00,1,33800000,"[53,53,53,67,100,53,44,44,44,53,67,53]",2025-10-11,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",informational,Image pack
tenis color negro para mujer,6,6,390,20,0.12,https://www.amazon.com.mx/Calzado-de-Tenis-para-Mujer-Negro/s?rh=n%3A14093799011%2Cp_n_size_six_browse-vebin%3A14145068011,15,0,1.00,1,80,"[54,67,81,81,81,100,100,81,81,81,54,81]",2025-09-05,"Image pack, Video, Image, Related searches",informational,Organic
mochila para raquetas de tenis,6,6,390,17,0.10,https://www.amazon.com.mx/b?ie=UTF8&node=9790680011,15,0,1.00,1,88,"[67,81,67,100,100,100,100,81,81,81,81,67]",2025-09-02,"Image pack, Video, Popular products, Related searches",informational,Organic
tenis casuales para mujer,5,5,1900,25,0.05,https://www.amazon.com.mx/MIDILI-Zapatillas-Plataforma-Cordones-Mocasines/dp/B0CF254LYK,15,0,0.00,1,11700000,"[100,79,79,100,100,67,67,54,54,67,54,54]",2025-10-07,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
tenis casuales para mujer,5,5,1900,25,0.05,https://www.amazon.com.mx/RELAAX-Casual-Blanco-Zapatillas-Deportivos/dp/B0BR86YK14,15,0,0.00,1,11700000,"[100,79,79,100,100,67,67,54,54,67,54,54]",2025-10-07,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
phantom tenis,2,2,390,29,0.09,https://www.amazon.com.mx/nike-phantom/s?k=nike+phantom,15,0,1.00,0.69,81,"[100,82,82,82,100,82,82,100,100,100,100,82]",2025-08-29,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
zapatos con correa mujer,2,2,170,25,0.10,https://www.amazon.com.mx/tacones-con-correa/s?k=tacones+con+correa,15,0,1.00,0.99,91,"[100,100,100,81,100,81,67,81,100,100,67,81]",2025-09-02,"Image pack, Video, Image, Related searches",informational,Organic
fundas para zapatos,2,2,170,29,0.21,https://www.amazon.com.mx/cubre-zapatos/s?k=cubre+zapatos,15,0,3.00,1,61,"[53,44,44,100,81,53,53,66,53,44,53,44]",2025-09-07,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
zapatos de vaca,2,2,170,27,0.00,https://www.amazon.com.mx/zapatillas-de-vaca-kawaii/s?k=zapatillas+de+vaca+kawaii,15,0,0.00,0.93,96,"[81,81,54,65,42,35,42,100,65,65,100,100]",2025-08-21,"Image pack, Video, Image, Related searches",informational,Organic
estante para zapatos,3,3,1300,27,0.18,https://www.amazon.com.mx/Tangkula-Zapatero-estantes-Organizador-Almacenamiento/dp/B07BHGWTDK,15,0,2.00,1,4910000,"[84,68,68,84,84,100,68,68,68,68,53,68]",2025-10-11,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Image pack
zapatos de pescado,2,2,170,29,0.00,https://www.amazon.com.mx/zapatos-boca-de-pescado-mujer/s?k=zapatos+boca+de+pescado+mujer,15,0,0.00,0.05,7790000,"[81,81,81,67,100,81,43,81,81,100,81,67]",2025-09-09,"Image pack, Video, Image, Recipes, Related searches",informational,Organic
zapatos cafes mujer,6,6,2400,26,0.07,https://www.amazon.com.mx/Zapato-Mujer-Salvaje-Tentaci%C3%B3n-03003600/dp/B09WJVPVZ7,15,0,1.00,1,6560000,"[100,66,83,100,100,83,66,83,66,66,66,66]",2025-10-01,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
llaveros de tenis nike,2,2,170,28,0.08,https://www.amazon.com.mx/llavero-nike/s?k=llavero+nike,15,0,1.00,0.22,53,"[81,81,54,65,65,65,65,81,65,81,65,100]",2025-09-03,"Image pack, Video, Image, Related searches",informational,Organic
tenis urban,6,6,390,7,0.07,https://www.amazon.com.mx/tenis-urbanos-hombre/s?k=tenis+urbanos+hombre,15,0,1.00,0.81,90,"[100,81,67,100,81,100,67,81,81,100,81,67]",2025-09-06,"Image pack, Video, Image, Related searches",informational,Organic
zapatillas de dama,6,6,390,22,0.07,https://www.amazon.com.mx/Zapatillas-para-Mujer-Casuales-Beige-Zapatos/s?keywords=Zapatillas+para+Mujer&rh=n%3A14093254011%2Cp_n_size_six_browse-vebin%3A14145059011&c=ts&ts_id=14093254011,15,0,1.00,0.71,25600000,"[100,81,100,81,81,67,67,67,100,100,67,67]",2025-09-12,"Image pack, Sitelinks, Video, Image, Related searches","commercial, informational",Organic
tenis de seguridad dielectricos,7,7,390,12,0.10,https://www.amazon.com.mx/tenis-de-seguridad-diel%C3%A9ctrico/s?k=tenis+de+seguridad+diel%C3%A9ctrico,15,0,1.00,1,65,"[100,100,100,100,67,81,100,100,67,44,100,67]",2025-09-10,"Image pack, Video, Image, Related searches",informational,Organic
tenis champion mujer,3,3,6600,27,0.04,https://www.amazon.com.mx/Champion-Arena-Power-Zapatillas-Mujer/dp/B0D8JLR28M,15,0,0.00,1,6060000,"[100,81,81,100,100,81,67,67,54,54,54,54]",2025-10-02,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Image pack
zapatos suecos de mujer,2,2,1000,29,0.09,https://www.amazon.com.mx/NOMADAS-Cl%C3%A1sicos-Estoperoles-Juveniles-Modernos/dp/B0B4R3CNFJ,15,0,1.00,1,872000,"[100,68,77,77,100,45,45,100,100,100,77,77]",2025-10-12,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
zapatos para pie diabetico,2,2,1300,25,0.04,https://www.amazon.com.mx/Generic-diab%C3%A9ticos-hinchados-ortop%C3%A9dicos-preventivos/dp/B0B62HMDZH,15,0,0.00,1,384000,"[81,81,62,81,62,81,81,55,62,55,62,100]",2025-10-07,"Local pack, Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Image pack
